Date,Cumulative Total Return (Net Dividends)
1953-11-02,48.0192
1953-11-04,47.1188
1953-11-05,47.8992
1953-11-06,47.7191
1953-11-09,48.0192
1953-11-10,46.2785
1953-11-12,46.8187
1953-11-13,47.2989
1953-11-16,46.3385
1953-11-17,45.5582
1953-11-18,45.7983
1953-11-19,46.4586
1953-11-20,46.6987
1953-11-23,46.2185
1953-11-24,47.0588
1953-11-25,47.1789
1953-11-27,48.0192
1953-11-30,48.6194
1953-12-01,48.7395
1953-12-02,49.7599
1953-12-03,49.88
1953-12-04,49.94
1953-12-07,49.7599
1953-12-08,49.2797
1953-12-09,49.0996
1953-12-10,48.7395
1953-12-11,48.6194
1953-12-14,48.1993
1953-12-15,48.3193
1953-12-16,49.8199
1953-12-17,49.6999
1953-12-18,50
1953-12-21,49.7599
1953-12-22,48.6194
1953-12-23,48.1993
1953-12-24,48.8595
1953-12-28,48.3193
1953-12-29,47.3589
1953-12-30,48.6194
1953-12-31,48.9196
1954-01-04,49.7599
1954-01-05,50.6603
1954-01-06,50.9004
1954-01-07,50.4202
1954-01-08,49.6399
1954-01-11,48.8595
1954-01-12,49.6399
1954-01-13,50.4802
1954-01-14,51.2005
1954-01-15,52.6411
1954-01-18,52.6411
1954-01-19,54.1417
1954-01-20,54.5618
1954-01-21,54.8019
1954-01-22,55.1621
1954-01-25,55.6423
1954-01-26,56.6026
1954-01-27,56.1224
1954-01-28,56.1825
1954-01-29,56.5426
1954-02-01,56.0024
1954-02-02,55.5822
1954-02-03,56.1224
1954-02-04,57.2629
1954-02-05,57.8631
1954-02-08,57.443
1954-02-09,57.0828
1954-02-10,56.9028
1954-02-11,56.4226
1954-02-12,56.7827
1954-02-15,56.3025
1954-02-16,54.922
1954-02-17,55.2221
1954-02-18,55.8223
1954-02-19,55.5822
1954-02-23,55.042
1954-02-24,55.042
1954-02-25,55.5222
1954-02-26,56.9628
1954-03-01,57.563
1954-03-02,57.9832
1954-03-03,57.9832
1954-03-04,58.5234
1954-03-05,59.1837
1954-03-08,58.7635
1954-03-09,59.1236
1954-03-10,59.4838
1954-03-11,60.2041
1954-03-12,60.2041
1954-03-15,59.4838
1954-03-16,59.4238
1954-03-17,59.7839
1954-03-18,60.4442
1954-03-19,60.9244
1954-03-22,60.8043
1954-03-23,59.6639
1954-03-24,58.8836
1954-03-25,58.5834
1954-03-26,59.4238
1954-03-29,60.024
1954-03-30,60.2041
1954-03-31,61.7047
